user_id,num_reviews,avg_rating,user_name
"\"\"Mrs.Frisby and the Rats of NIMH\"\"",3,,"and \"\"From the Mixed-Up Files of Mrs. Basil E. Frankweiler\"\"\""
by Harry P. Abbott,1,,who was a Chaplin in the 13th Armored Regiment of the 1st Armd Div in WWII
17.93,2,,AA3WNKN3ER5W5
17.93,2,,
3/3,1,,3.0
A00109803PZJ91RLT7DPN,1,5.0,Alma Torres-Miller
A003189026NYRN9DP0HPV,1,5.0,James S. Martin
A007508924EHUYOIFFRP3,1,5.0,Joan
A00889513UYGB5WNDZWGP,1,5.0,Patricia Johnson
A0099149GMVW6X5BHP2U,1,5.0,Lamar Ziegler
A0129649YW0C01QZKX5N,1,5.0,LK
A01385023DOTO5WGDSKJB,2,4.0,John Sullivan
A02524972ZZ8QFY8T479T,2,5.0,Alvetia Higgins
A03195621CE8IVMVD5XW4,2,5.0,kalebortega
A0446529164YQ15Y0NF33,1,4.0,lizzy
A0503161NJ9GM5VQKEO5,4,5.0,Marleyna Hernandez
A0517583YO2TA1CKOBET,1,5.0,john m. klotz
A07373992A5GR0DZ76ANY,8,5.0,Matthew Vercher
A07863253I4OYMZ0OS87K,1,5.0,David Hinchliffe
A08091582QZ1L1Q6GGMN4,1,5.0,Beverly
A0814192KJB2NLXLWNS6,1,5.0,Gary Lee
A08172821OJGMSWH2P3J1,1,5.0,LilDoll
A0817940137ZWNF2GUBRO,1,1.0,CINDY ZINZER
A09880433CQU6QE8AASXX,3,2.6666666666666665,tray thacker
A1001QR844MH6D,3,5.0,J. Moone
A1002YK6E5HNL9,2,5.0,Charles Rose
A10061QNDKEHV3,1,2.0,Ryan R
A1008FAK8D17DW,1,5.0,Reader
A1008M8AY2G4PV,1,3.0,A. Bourre
A100A2DP0N4REQ,1,5.0,"\"M. Kazemi \"\"happyshopper\"\"\""
A100E0VWZCJ0KE,1,5.0,James L. Mcfadden
A100FBYHKGNI7F,1,5.0,horselover
A100GI8UXK0BF0,2,5.0,Sean J Wilkinson
A100NIFCPCV4ZD,1,5.0,John Hancock
A100NKQ62LTBDB,1,5.0,Norma Peters
A100O4AHCW1CXK,2,5.0,Sheri Crockett
A100QCLQX5P0NR,1,5.0,J. Ruble
A100RFQHFO005W,1,5.0,"\"artifice \"\"artifice\"\"\""
A100ROJVX15KFE,1,1.0,Cloudy
A100Z0BS6Z89IN,4,5.0,jbene@compuserve.com
A100Z3DFTELMTZ,1,5.0,Javid Amini
A1012EDQVQFYBT,2,3.5,Lisa
A1012N48J0Z65N,12,4.916666666666667,Philip Z. Andrews
A10139UABMCLE3,1,5.0,Leenieb
A1014WXMOL5S0O,2,5.0,Iboganaut
A101939M4UIUIY,3,5.0,njoneal
A1019451ZPRJ0N3JO06M,4,4.0,elkan eric butler
A101AERBB9U25Y,1,5.0,A. Mariska
A101EOWQX6J1U5,1,5.0,Nicole Avril
A101O1B1PXXOHS,1,5.0,Lady Bug chan
A101PE21GI4DV3,1,5.0,PATRICIA ROQUE
A101S6UF633SWS,1,5.0,"\"Leslie Holly \"\"L\"\"\""
A101SVJQEGBC1D,1,5.0,Robert W. Clipper Jr.
A101WF05O9BBI5,4,5.0,Wm B. Hackett III
A101YPN1BLK3YP,1,5.0,Kevin M. Boylan
A101Z7KX9K9DKD,1,4.0,Melissa L. Abrantes
A1023YFK5FUKE9,1,5.0,"\"\"\"ziggyphenocious\"\"\""
A10287Y7G4E7S8,1,3.0,E. Andrews
A1029Z8XJYNVH5,1,2.0,"\"Avid Reader \"\"Sri Lanka Girl\"\"\""
A102B0FD2K9OWV,1,5.0,Jan G. Acosta
A102LM6EV4GZO3,1,4.0,Darryl Henick
A102RSQTFCWRSP,2,5.0,Eytan Zweig
A102TNG4PDPPB9,1,4.0,hardwoods
A102TZAYC0LGAI,1,5.0,AmeriManga Lover
A102WOOEMUBTYU,1,4.0,"\"Gregory Craner \"\"bookkeeper\"\"\""
A102YJDH60MEHU,1,4.0,Chadwick
A1036Q9U7356LA,1,5.0,Sarah Jones
A103C3F5TM3NX7,1,5.0,Kalenda Rene Adams
A103H3VZVDGERL,1,5.0,"\"A. Briggs \"\"Love to can\"\"\""
A103IY8ONFESZH,2,5.0,Scrappycat50
A103L8XUBRMVBC,1,4.0,L Lee
A103OW3FZMAZJ,4,4.5,A reviewer
A103R45P7AQBWF,4,5.0,reader2
A103RG1Z2WHS9N,3,4.666666666666667,sc
A103X6OZPAJSG,1,5.0,pablo
