user_id,num_reviews,avg_rating,user_name
Longevity,4,,"and Disease Prevention\""
"and Directions for Old-Time Dancing as Revived By Mr. And Mrs. Henry Ford\"",1,,
"quick read\"",1,,"While Harry Pidgeon's feat of sailing around the world is exceptional, and his writing style clear and concise, he offers few insights into sailing or his life. The book is fashioned after Joshua Slocum's &quot;Sailing Alone Around The World:&quot; Or equally as likely, Pidgeon and Slocum were two men of a like mind. In any event, both men portray that 19th century reserve so characteristic of the Englishmen. Such reserve in the face of near scrapes with death maybe admirable, but it does not make for as interesting reading."
this book is the bible. Written by Randall and Campbell in 1947,1,,with two reprints
"while fighting for the flag\"",7,,
4.50,3,,A23HTIYFA0R9LB
4.50,3,,A7Y786QGHZOIP
45.00,1,,A180V0Q0ENRCB9
70.27,1,,A912C7977MO6O
A0047322388NOTO4N8SKD,1,5.0,Robert Patton
A00878773S2MNB00COHKV,9,5.0,San James
A01496021AHO2YSV1VTDN,2,5.0,I14 Screwdriver
A026598010DVEJLSZ7H2U,1,3.0,kathy pierce
A047546128GIOHK8JV3WB,5,5.0,Maddie Woodruff
A06233412KRLTNTLQRXAW,1,5.0,Robyn Connolly
A0694928SHNEV83LPLRW,1,5.0,William
A06993443H2ADFBYZFBAT,1,5.0,Amelia Halverson
A08450562J3MM0EDRH9MO,2,5.0,Mariah Goodrich
A086539115V3VSOY7H183,1,4.0,Todd B.
A0936322C4IH6N0NQH7Y,1,5.0,vincia merritt
A1003LA2SQR2QO,2,2.0,"\"D. C. Carr \"\"dccarr\"\"\""
A1006M3FCLA16U,1,5.0,Marlene Gitterle
A1008XGX6HA8PY,2,4.5,"\"T. Allison \"\"World Explorer\"\"\""
A100BWRR2UOZ41,3,5.0,L. Archut
A100D0GYCJ1X4M,1,5.0,Bristol Daze
A100EG9621AK5Q,1,5.0,C. Hudson
A100J0GRYQK6VB,1,5.0,"\"hhanchors \"\"houstonhb\"\"\""
A100JEV1I8ZHJ8,2,2.0,"\"Danny Ko \"\"LanceVIII\"\"\""
A100K4RRPN88MC,1,5.0,Charles Coleman
A100M848IXNDV3,2,4.0,J.L.Grant
A100PAEDJF07GJ,1,5.0,Gkhan
A100SADN8WX2WF,2,5.0,"\"Dick Simon \"\"Dick Simon\"\"\""
A100UI1EDZB5UQ,7,5.0,Michael Montona
A100V1W0C8BWOL,24,4.333333333333333,Brown_Megan
A100VUPPWK0RO8,4,3.0,Michael E. Norton
A100XHA2FKY7AZ,2,3.5,Natalie C. Tyler
A100Y6DLSPV2YN,1,1.0,James Dellinger
A10129172XQ6ADU32UN2R,2,5.0,Royce Pitney
A1012JHXV7P7PJ,2,5.0,Christine Michalec
A10164KXZ5Q4IN,3,2.3333333333333335,COLLEGE DAD
A10176M2NP2L2C,1,5.0,Stephen M.
A1017LPPQC5MYT,3,4.0,Jessica
A1018QM9AWCL8B,1,1.0,"\"J. Grzegorzewski \"\"shadowwaiting\"\"\""
A101BM26FA50ZV,2,5.0,Nadia Rohrs
A101CF0V2IOYVD,2,4.0,jose a echevarria
A101D103BE317E,13,5.0,"\"A. Johnson \"\"ANBJ\"\"\""
A101FA1W8109W7,2,3.0,DP552
A101GRTZOS8B5G,3,2.6666666666666665,James D. Ray
A101HZ3JJV93NU,1,4.0,Lorrib
A101IZCTUQ9L78,1,5.0,Nerissa Koehn
A101LAFLFQQ8QT,1,5.0,Megan Chen
A101LGLEGJJ11X,1,1.0,"\"retard \"\"sam\"\"\""
A101N7HHQLMPR4,1,5.0,susan
A101NV24NQC3JA,1,5.0,G. Gray
A101Q0WS6S431Y,1,4.0,H. Borrmann
A101RGLJ09H3PH,1,4.0,Robert L. Sayre
A10205XCH5PPJG,1,4.0,David Blasco
A1023U57JFTI36,1,5.0,"\"Dawn E. Lockett \"\"book bug\"\"\""
A1023VCADMO82,13,2.0,Becky
A1025A14LWFHVG,1,5.0,"\"Sunny Kreis Collins \"\"Sunny Kreis Collins\"\"\""
A102928M6OF5AC,1,5.0,Christina Johnson-conley
A102AC7H8VLO94,5,3.8,Lindsay S. Dunn
A102DMOU30OU88,1,5.0,"\"PennyK456 \"\"PennyK5125\"\"\""
A102F7FJHMBLAQ,2,4.0,"\"PaulTheTutor \"\"Paul Osborne\"\"\""
A102HQ38U10PPZ,13,3.3846153846153846,citywulf
A102OYXZJJEAYM,2,5.0,R. Jason Place
A102RHFW4LGG40,1,3.0,Amy
A102TW5OH1HBM2,2,3.0,Hayssam Jean Serhan
A102XPLGUXYET2,1,5.0,Bernard McKenna
A102Z8PV08LBQ3,1,5.0,Anthony Cukras
A1032XTTFJEOI8,1,5.0,cartoonfan4072
A103CMODTSUEND,2,3.0,Richard Collin
A103EGIKAZQMSQ,1,4.0,Michael Fitzgerald
A103FSOEF5ELTU,2,3.5,"\"Robert C. Rogers \"\"Bob Rogers\"\"\""
A103ILZSH5EJ8K,1,5.0,"\"Laura C. Fox \"\"FoxyMa\"\"\""
A103IPWS3THOX2,3,4.666666666666667,Sharon
A103RGAUIG9N6M,1,4.0,"\"Christopher Jordan \"\"CeeJay\"\"\""
A103UMWXW9SEX,1,5.0,manico
A103ZOLCQ4TNXB,1,5.0,C. Haken
A1047EDJ84IMAS,6,4.5,"\"Bea \"\"book addict\"\"\""
A104AS2QUNE768,1,1.0,Claire Farnsworth
A104CJ5PY4UAN7,1,1.0,"\"Gia G \"\"G.G.\"\"\""
A104DNNNXBLGLJ,4,5.0,hellcat28@hotmail.com
A104G9JZWFJZ9U,2,4.0,Andrea
A104GD6R26EZ9Z,1,5.0,Lonnie Martin
A104HH43WP6N3H,1,5.0,chilly willy
A104KP9O6Y8BZY,1,3.0,Wisconsin reader
A104NLIHO67DWT,1,5.0,Karen M. Cupp
A104PIJCJCDC5Q,1,5.0,nicholas.nunn@talk21.com
A104TZDHDEE31L,1,5.0,"\"William R. Quintal \"\"Lilian Quintal\"\"\""
A104Y98RXF1CBS,1,4.0,Joel Velazquez
A1053U9SOBMMJ0,1,5.0,"\"Joe Stump \"\"joestump\"\"\""
A1056ORRF4WBHC,1,5.0,mti
A1059X2AN7ZIQS,2,4.5,Nibs
A105A48HMS8DDV,1,5.0,"\"S. Bear \"\"S. Ashleigh\"\"\""
A105DFNXA5BRZR,1,5.0,TTJL
A105K0F21JME2V,2,5.0,Simon Fairfax
A105LJFSPJ6NQB,1,4.0,mtnslamgrass
A105S4KQ3KE3DQ,2,4.5,Carlos Ubilla
A105UKXIBV5282,1,5.0,L. SUMMERS
A105X5O4DH8VI3,1,4.0,Friend of Lance
A1060TU3IGU2UJ,1,5.0,Sheila
A1061NZ9BTB3HF,1,4.0,Lawrence Jewett
A1063RA12KFL47,2,5.0,"\"Lily Munster &#34;Cyndi&#34; \"\"movie mama\"\"\""
A1068ACG0SFMZS,1,5.0,A. Soria
A106A8TUDNDHKC,4,5.0,David Feustel
A106BA0OZGG144,1,5.0,Dottie
A106DRULDOULK8,1,5.0,JSchroif
A106HD4S643MHK,18,5.0,Julesp84@hotmail.com
A106J82FRNBPTK,3,5.0,Skeeter
A106OWBHWB8WN9,1,5.0,"\"southerngurl0102 \"\"Karen W\"\"\""
A106SQJO9S3UHU,1,5.0,Gopher29
A106V8I4QPX0FW,1,5.0,Doug Decker (doug.decker@mci2000.com
A106VDV4ODV1LR,2,2.0,"\"Nancy G. Murdoch \"\"book loving Nana\"\"\""
A106W60ZFC4HUK,1,5.0,A Customer
A1071VBBKCVYVN,10,4.7,Melissa Hyde
A1072X5F5JGOKL,2,5.0,Kerstin Baird
A1073EKCUL5E09,1,4.0,David Suppo
A1077UFXT5RG0X,1,4.0,Vincent
A107B895JURAY7,2,3.0,Joe - PMP
A107BRWBRASM9L,25,3.28,Karina Gronnvoll
A107CRVLR4O4IV,1,5.0,Rhiannon Haynes
A107KVRYRCU3RY,1,2.0,A. Film Lover
A107LJNT4BW5BU,3,2.0,"\"SleepingUgly \"\"MS\"\"\""
A107Q9RU9PQAE7,2,4.0,"\"C. E. Stevens \"\"meistermovie\"\"\""
A107RU8CR61IH1,2,5.0,picardluvr@aol.com
A107TKZKPTWDF8,1,5.0,heyitsme
A107XRUY6ATL6A,1,5.0,mary granger
A107ZX1O8JZCN5,1,,"\"Vicki D. Hopkins \"\"Vicki Hopkins"
A1082H530W0Z73,1,5.0,Frank Gallina
A108A829O8SDIO,1,5.0,"\"Natalie \"\"shoehore\"\"\""
A108AQMOS80CY1,1,5.0,annabell martin
A108D9SAJ66D9B,1,5.0,Donna C
A108DQRK59IF8X,6,4.0,"\"Nicholas B. Lauderdale \"\"Blaine Nomura\"\"\""
A108GLKIVTC1DY,2,4.5,"\"D. Ewing \"\"Tonga Nurse\"\"\""
A108HMIJOI9GF7,6,4.666666666666667,Hall Hao Wang
A108HV6T3PQVEC,6,3.6666666666666665,"\"chicken head cut off \"\"mcscientist\"\"\""
A108MM0FGAUSFP,1,4.0,Stephanie Vogel
