user_id,num_reviews,avg_rating,user_name
Sao Paulo State,1,,"Brazil\""
"Squeeze This\"\": A Guide to Creating Great Ads (Adweek Magazine Series)\"",113,,
Vatican II documents,2,,"and Holy Scripture\""
"Virginia: With genealogical notes of many of the allied families\"",2,,
cocaine snorting,3,,pill popping
easy to read and a very true account of a true happening of our history. I am the Granddaughter of the Author,1,,Happy P. Abbott. My grandfather was a wonderful man and a very honest and sincere person. I know anyone
"\",,A1IZWTVAQVJIFE,Rerevisionist,14/16,5.0,1308873600,\"Pioneering revisionist Shakespeare work",1,,"with surprising implications\""
"\",,AJABCSZ3YELXU,\"Alan Venable \"\"Author/creator of 'Dr. Peanut'...\"",1,1.295568E9,17/18
26.84,10,,
26.84,10,,AW9HCCHTU99NY
26.84,10,,AIIN9N68F14ZQ
26.84,10,,A2FYR0QFANPN3E
26.84,10,,A11A1NAAHSQ3JI
26.84,10,,A3MMEVY2IDHEES
4/5,1,,3.0
7.19,78,,A2XP7QL07J91D3
7.19,78,,A3FJ3VG6O7CB52
7.19,78,,
7.19,78,,A2JBDC1OR1KZGP
7.19,78,,A5CO5ZIP5ALBZ
7.19,78,,A3CKPNSGA7JOLK
7.19,78,,A1WVVNTDUB7IR
7.19,78,,A39WWOFLLOQC3L
7.19,78,,A34ZQFVSFCVDG4
7.19,78,,A21JPJTVT82G4Z
7.19,78,,AP02FCWE063UM
7.19,78,,AI8Q4LMDE76S0
7.19,78,,A3Z15RIOB9NI1
7.19,78,,A18TYOEV1JMHX8
7.19,78,,A2GDT1MM1V4VBG
7.19,78,,A18TZWC6E47R4P
7.19,78,,A17W2XOEHAYUFM
7.19,78,,A2WH2A0YJYRTSU
7.19,78,,A1BJ0KATYNBGTT
7.19,78,,A1XRE092B3NZXC
7.19,78,,A6HXFDIC7DVTC
7.19,78,,A2B0V5719TOT0L
7.19,78,,A8DJ9EU2QP2JM
7.19,78,,A3K77GJCI8FRYU
7.19,78,,A3MQXFVZ9DCE8M
7.19,78,,A12S1QWNVEBVIT
7.19,78,,A33LUK9GH347OP
7.19,78,,A38YMKCOZWUPV5
7.19,78,,A2QKHVEPVCQXBC
7.19,78,,A3KQKU6AI52WWI
7.19,78,,A3E42US6U1CK4W
7.19,78,,A44G5C2X5QKYY
7.19,78,,A20B4LKV7ETDLQ
7.19,78,,A3RHSPSU02EIG3
7.19,78,,A2DJV5P2NTWEK0
7.19,78,,A38HJCHTQVHU67
7.19,78,,ATHHBUOIQW3AW
7.19,78,,A12YY5VZU96FPV
7.19,78,,A2U5EMV490SZL9
7.19,78,,AV2UEFMSU44K7
7.19,78,,AQ6S3EKGA1SL3
7.19,78,,A3KNY1U2LJT929
7.19,78,,A3AVZUJDGMITZ0
7.19,78,,A3TM2GN2IGWYS2
7.19,78,,AAYTFRX8QGQQM
7.19,78,,A2LOSNUPY31UFK
7.19,78,,A2AX5FZGQ88OR2
7.19,78,,A1RVBZXTHXZ56Y
7.19,78,,A3157CLF9IZGRL
7.19,78,,A3H8OYIER5SWSI
7.19,78,,AJ8T5AQXL78PB
7.19,78,,AZPM7EJ6WW3YC
7.19,78,,A67TR5991EGQO
7.19,78,,A31LU8VOR8OZNI
7.19,78,,A2XG8I7VV2AUQG
7.19,78,,A3G0WI63Z3ED6B
7.19,78,,A3ULUTLVIQ5G14
A01568262CAXLHBO60UB2,1,4.0,Edward Hasser
A01949922F88Y57PLOZGC,1,4.0,Winston Hume
A023410125YM0JZNC2XL2,1,5.0,Pen Name
A025969528NKXJD6UUK67,1,5.0,Maggie Pittman
A03355352UQGJRUSZECK9,2,5.0,G. Bongartz
A03356071O24BXVV12ALV,1,5.0,Ashley Begeng
A03391331MFHD3H31AEN3,1,5.0,nisky blast808
A034393711Y6FQAO8ILK9,3,4.333333333333333,Chloe
A042265637VTQ7JA47HWH,1,5.0,jonathan young
A04775291ROGGANGD6SQV,1,5.0,Edna C. Cusi
A049014131W536RUG6C9,1,5.0,Donna Brooks
